name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Bewafa Tera Masoom Chehra,Bewafa Tera Masoom Chehra,Rochak Kohli,2020-11-16,242149,60,0.457,0.579,0.83,0.0,0.159,-4.859,0.0523,166.572,0.758,3,6,0,spotify:track:2plj6f8TqOF0YNuHd2VzJD
"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")","Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Rochak Kohli,2021-10-28,284233,69,0.38,0.649,0.86,0.000547,0.147,-4.07,0.0359,96.025,0.585,4,6,0,spotify:track:6IWZKBeAkeCzaYNE8SmedK
ELEVATED,ELEVATED,Shubh,2022-03-12,200658,58,0.212,0.831,0.533,3.25e-05,0.306,-5.777,0.0897,93.034,0.604,4,6,0,spotify:track:6btas8Eignhw8yKp4VJvGi
WE ROLLIN,WE ROLLIN,Shubh,2021-09-17,199205,62,0.262,0.816,0.503,7.16e-06,0.104,-9.112,0.197,85.003,0.278,4,4,0,spotify:track:605r6rtj7kBlJwZWmYx1Dt
NO LOVE,NO LOVE,Shubh,2022-02-26,170387,68,0.243,0.771,0.486,0.0,0.191,-8.952,0.0393,137.058,0.733,4,4,0,spotify:track:5B4YQN1FCuADJ0o4phAtwC
OFFSHORE,OFFSHORE,Shubh,2021-11-22,172054,56,0.0487,0.831,0.345,0.00161,0.112,-13.452,0.209,80.015,0.658,4,5,0,spotify:track:5EIQt0H1ZqObVYUrBLbN86
Dil Chahte Ho,Dil Chahte Ho,Jubin Nautiyal,2020-08-27,252771,53,0.812,0.3,0.399,0.0,0.0978,-6.951,0.0341,78.755,0.225,4,7,1,spotify:track:60dbY1IYizdQQVhC4QTyEc
OFFSHORE,OFFSHORE,Shubh,2021-11-22,172054,56,0.0487,0.831,0.345,0.00161,0.112,-13.452,0.209,80.015,0.658,4,5,0,spotify:track:5EIQt0H1ZqObVYUrBLbN86
Gal Ni Bani,Gal Ni Bani,Jordan Sandhu,2022-03-16,187605,49,0.34,0.784,0.608,0.0,0.107,-4.691,0.128,141.862,0.464,4,0,1,spotify:track:14yIcx0HA4RTKkndUvHlda
Big Men (Chapter 2),Big Men (Chapter 2),R Nait,2022-05-13,224965,55,0.433,0.441,0.653,0.0,0.126,-6.254,0.212,83.1,0.242,4,3,0,spotify:track:3i0uUsZFO2eJfc4uULSWLy
Gall Khaas,Gall Khaas,Zehr Vibe,2022-03-02,160200,62,0.0742,0.866,0.707,0.0,0.0852,-7.34,0.132,99.997,0.294,4,9,0,spotify:track:7J5V3MlzpfSF6jEchkfxB6
Judaa,Judda,Amrinder Gill,2011-11-05,329720,47,0.0405,0.686,0.818,0.0,0.304,-3.736,0.0603,129.88,0.425,4,8,0,spotify:track:41wckxpAZHCVrz6F8qXfdf
Dil Tod Ke,Dil Tod Ke,Rochak Kohli,2020-07-15,239161,58,0.348,0.484,0.658,0.0,0.0995,-5.657,0.219,85.008,0.654,4,10,0,spotify:track:71OoohX1NBG4ez6eijgaWE
Bewafaai,Bewafaai,B Praak,2017-09-16,322285,28,0.468,0.575,0.745,0.0,0.0792,-2.841,0.0421,139.953,0.549,4,1,1,spotify:track:22UgzQKONZ6mNA9hJxmWjR
